|Description|new_summary|entities
0|INTEL - SELLS 214.8 MLN SHARES TO NVIDIA FOR $5.0 BLN - SEC FILING|Intel has sold 214.8 million shares to NVIDIA for $5.0 billion, as reported in a recent SEC filing.|INTEL,NVIDIA, INTC,NVDA
1|CITI SEES FY 2026 S&P 500 BASE CASE OF 7700|CITI projects a base case for the S&P 500 index to reach 7700 by FY 2026.|CITI
2|$NVDA** - BERNSTEIN ON NVIDIA’S GROQ DEAL**  Bernstein analyst Stacy A. Rasgon reiterated an Outperform rating and $275 price target on NVIDIA.  NVIDIA reportedly agreed to a $20B deal with AI chip startup Groq  which was later described as a non-exclusive licensing agreement for Groq’s inference technology. Key Groq executives will join NVIDIA  while Groq remains independent under new CEO Simon Edwards and continues its cloud operations.  Bernstein sees the move as strategic  strengthening NVIDIA’s position in AI inference—a more competitive area than training—and reinforcing its market leadership as inference demand scales.|Bernstein analyst Stacy A. Rasgon maintains an Outperform rating for NVIDIA, following its strategic $20B licensing agreement with AI startup Groq, which is expected to enhance NVIDIA’s position in the AI inference market.|$NVDA, NVIDIA,Groq
3|$MSTR - STRATEGY ACQUIRES 1 229 BTC  RAISES $108.8M FROM ATM|MSTR has strategically acquired 1,229 BTC and raised $108.8 million through an ATM transaction.|MSTR, BTC
4|CHINA DEFENCE MINISTRY:  URGES RELEVANT COUNTRIES TO ABANDON ILLUSIONS OF USING TAIWAN TO CONTAIN CHINA|The China Defence Ministry has called on countries to abandon the notion of using Taiwan as a means to counteract China, highlighting rising geopolitical tensions.|
5|PUTIN TELLS RUSSIAN GENERALS: IT'S NECESSARY TO CONTINUE OPERATION TO GAIN CONTROL OF THE CITY OF ZAPORIZHZHIA|Putin has instructed Russian generals to proceed with military operations to gain control of Zaporizhzhia, indicating continued geopolitical tensions in the region.|
6|SPOT SILVER PLUNGES 7% INTRADAY|Spot silver has experienced a significant decline of 7% in intraday trading. This sharp drop highlights volatility in the silver market.|SILVER
7|$TSLA** - STIFEL ON TESLA FSD UPDATE**  Stifel noted that Tesla released FSD (Supervised) Version 14.2.2 on December 22  introducing UI  safety  and usability enhancements.  The update focuses on improving real-world driving behavior  system reliability  and customization  while adding features such as improved trip completion  dashcam playback  and camera visibility monitoring. Early driver feedback highlights smoother steering  more confident lane changes  better obstacle awareness  and improved performance in rain and heavy traffic.|Stifel reports that Tesla has released FSD Version 14.2.2, which brings significant UI and safety enhancements for improved real-world driving performance. Feedback from early drivers indicates notable improvements in vehicle handling and obstacle awareness.|Tesla, $TSLA
8|SPOT GOLD  EXTENDS LOSSES  LAST DOWN OVER 3% AT $4 385.29/OZ|Gold prices have dropped over 3%, currently trading at $4,385.29 per ounce.|Gold
9|SPOT PALLADIUM  EXTENDS LOSSES  LAST DOWN 15% AT $1 608.25/OZ|Palladium prices have sharply declined, dropping 15% to $1,608.25 per ounce.|Palladium
10|NETANYAHU: MUSK DISCUSS COOPERATION WITH TESLA  NETANYAHU: PLANS TO MAKE ISRAEL LEADER IN AI TECHNOLOGIES|Netanyahu and Musk discussed potential cooperation, with plans for Israel to become a leader in AI technologies.|Tesla
11|*US NOV. PENDING HOME SALES RISE 3.3% M/M; EST. 1.0%|Pending home sales in the US saw a significant increase of 3.3% month-over-month, surpassing the estimated rise of 1.0%. This suggests stronger-than-anticipated demand in the housing market.|
